"","norm_DE"
"VPREB3",0.003207879130691
"EBF1",0.00229936097313028
"BLNK",0.00206001914332846
"CD19",0.00189748825325109
"WFS1",0.00186276260228456
"ADPRHL1",0.00186276260228456
"PAX5",0.0016550047824826
"SH2D4B",0.00153945295406903
"MMP11",0.00150918296779764
"MED12L",0.00149532846240752
"NPR1",0.00147972359599555
"TCL1A",0.00144443510197426
"CD79B",0.00138077012312284
"LARGE2",0.00137183423195186
"CD72",0.00132706315264849
"CYGB",0.00131703780161001
"S100A16",0.00130002315607827
"CPAMD8",0.00128489435989689
"KAZALD1",0.00127024260285758
"AREG",0.00126953977859872
"MACROD2",0.00126435443109813
"ZNF423",0.0012439106631727
"CNN3",0.00123872096074235
"MYRIP",0.00123703571781782
"LARGE1",0.00122708098967377
"PPP2R2C",0.00119800022390822
"COL5A1",0.00119413453822624
"ZCCHC7",0.00118886206385281
"LRRC3B",0.00115903274336264
"BCL6B",0.0011486611525123
"SLC41A1",0.0011023652277019
"CACNA1A",0.00109694421616185
"NDST3",0.00104629283026243
"RGS16",0.00104255076099151
"ST8SIA5",0.00103416888255108
"PCDH9",0.0010274146912408
"CD7",0.00101561843813318
"CD22",0.000981409732198506
"RAPGEF3",0.000981409732198506
"NAV1",0.000962242584680621
"PXDC1",0.000957654448459881
"CORO2B",0.000938319457416732
"CMTM8",0.000923302548429217
"HRK",0.000914059653074829
"DIP2C",0.000898759508645204
"PSD3",0.000898015223167034
"AP1B1",0.000894117635348474
"CHRNB4",0.000893354906057011
"NPTX1",0.000892071691182858
"OLFML2A",0.000892071691182858
"DIPK1C",0.000888915410096288
"OR6J1",0.000883105857617634
"VSIG10",0.000878594251484197
"BMP3",0.000855266970523377
"PDZD7",0.000855266970523377
"LAMP5",0.000849807982435149
"RPH3AL",0.000848164507171866
"ZNF556",0.000848063806430209
"FFAR1",0.000846651645885784
"TIAM2",0.000840341029377397
"XIRP1",0.000831830006960491
"SUN1",0.000830636975190167
"GREM1",0.000830249405714758
"GNAZ",0.000820690986284791
"RAG2",0.000820690986284791
"GPRIN1",0.000814416676447529
"KCNK12",0.000814065443514365
"DDR1",0.000811512134473498
"DLGAP3",0.000806231280036515
"MYO7B",0.000804563861447529
"OVCH2",0.000804255021549987
"NTNG1",0.000803178121406029
"SCN4A",0.00079338406533978
"GLUL",0.000791051318965564
"SALL4",0.000789481507393385
"USP28",0.000787580294235868
"NEIL1",0.000786299028379177
"CD3D",0.000784626584042088
"SLC7A11",0.000781975911102206
"CECR2",0.000773975015525975
"S100B",0.000767711774590794
"NGFR",0.000767586108353256
"PCBP4",0.000767586108353256
"DUSP26",0.000759798082738938
"EPHA7",0.000751827947608384
"NRXN3",0.000744308718585104
"TNFRSF13C",0.000737451924765617
"THRB",0.000735159942359011
"ABCG5",0.000734494961958169
"GNAI1",0.00073315154895623
"ZNF385D",0.000732146581138165
"P2RY12",0.000730515715012156
"PTK2",0.000721689968069189
"HMHB1",0.000720269919640644
"ISG20",0.000720269919640644
"PMP22",0.000714371543979997
"BACH2",0.000707028658174922
"HTRA3",0.000698297127427581
"GP5",0.000688496268772951
"RAB33A",0.000671925965840651
"GPR176",0.000671925965840651
"LRRC14B",0.000668484609948105
"CHST3",0.000667328530428717
"HECW1",0.000659917774850029
"MET",0.000655103240917007
"MX1",0.000651511048395388
"DEPP1",0.000651365492231408
"MYLK",0.000647473270577254
"EFR3B",0.000645702459105736
"CHN2",0.000645702459105736
"CLGN",0.000645702459105736
"COBL",0.000645331927726212
