gene_name	norm_DE
VPREB3	0.003207879130690995
EBF1	0.0022993609731302845
BLNK	0.0020600191433284647
CD19	0.0018974882532510923
WFS1	0.0018627626022845632
ADPRHL1	0.0018627626022845632
PAX5	0.0016550047824826018
SH2D4B	0.0015394529540690288
MMP11	0.0015091829677976395
MED12L	0.0014953284624075179
NPR1	0.001479723595995549
TCL1A	0.0014444351019742585
CD79B	0.001380770123122844
LARGE2	0.0013718342319518624
CD72	0.001327063152648488
CYGB	0.0013170378016100141
S100A16	0.001300023156078269
CPAMD8	0.0012848943598968929
KAZALD1	0.0012702426028575815
AREG	0.0012695397785987205
MACROD2	0.0012643544310981304
ZNF423	0.001243910663172697
CNN3	0.0012387209607423542
MYRIP	0.0012370357178178183
LARGE1	0.0012270809896737709
PPP2R2C	0.0011980002239082225
COL5A1	0.0011941345382262428
ZCCHC7	0.0011888620638528119
LRRC3B	0.0011590327433626383
BCL6B	0.001148661152512299
SLC41A1	0.0011023652277018965
CACNA1A	0.0010969442161618455
NDST3	0.0010462928302624294
RGS16	0.0010425507609915059
ST8SIA5	0.001034168882551083
PCDH9	0.0010274146912408048
CD7	0.0010156184381331773
CD22	9.814097321985064e-4
RAPGEF3	9.814097321985064e-4
NAV1	9.622425846806208e-4
PXDC1	9.576544484598815e-4
CORO2B	9.383194574167324e-4
CMTM8	9.23302548429217e-4
HRK	9.14059653074829e-4
DIP2C	8.987595086452042e-4
PSD3	8.980152231670343e-4
AP1B1	8.941176353484736e-4
CHRNB4	8.933549060570114e-4
NPTX1	8.920716911828582e-4
OLFML2A	8.920716911828582e-4
DIPK1C	8.889154100962884e-4
OR6J1	8.831058576176338e-4
VSIG10	8.785942514841972e-4
BMP3	8.552669705233767e-4
PDZD7	8.552669705233767e-4
LAMP5	8.498079824351487e-4
RPH3AL	8.481645071718657e-4
ZNF556	8.480638064302089e-4
FFAR1	8.466516458857836e-4
TIAM2	8.403410293773965e-4
XIRP1	8.318300069604907e-4
SUN1	8.306369751901665e-4
GREM1	8.302494057147581e-4
GNAZ	8.206909862847909e-4
RAG2	8.206909862847909e-4
GPRIN1	8.144166764475291e-4
KCNK12	8.140654435143652e-4
DDR1	8.11512134473498e-4
DLGAP3	8.062312800365147e-4
MYO7B	8.045638614475292e-4
OVCH2	8.042550215499869e-4
NTNG1	8.031781214060289e-4
SCN4A	7.933840653397803e-4
GLUL	7.910513189655643e-4
SALL4	7.894815073933853e-4
USP28	7.875802942358683e-4
NEIL1	7.862990283791769e-4
CD3D	7.84626584042088e-4
SLC7A11	7.819759111022061e-4
CECR2	7.739750155259751e-4
S100B	7.677117745907941e-4
NGFR	7.675861083532562e-4
PCBP4	7.675861083532562e-4
DUSP26	7.597980827389384e-4
EPHA7	7.518279476083844e-4
NRXN3	7.443087185851045e-4
TNFRSF13C	7.374519247656167e-4
THRB	7.351599423590107e-4
ABCG5	7.344949619581689e-4
GNAI1	7.331515489562304e-4
ZNF385D	7.321465811381649e-4
P2RY12	7.305157150121558e-4
PTK2	7.216899680691894e-4
HMHB1	7.202699196406442e-4
ISG20	7.202699196406442e-4
PMP22	7.143715439799966e-4
BACH2	7.070286581749224e-4
HTRA3	6.982971274275815e-4
GP5	6.88496268772951e-4
RAB33A	6.719259658406508e-4
GPR176	6.719259658406508e-4
LRRC14B	6.684846099481048e-4
CHST3	6.67328530428717e-4
HECW1	6.599177748500294e-4
MET	6.551032409170071e-4
MX1	6.515110483953884e-4
DEPP1	6.513654922314079e-4
MYLK	6.47473270577254e-4
EFR3B	6.457024591057359e-4
CHN2	6.457024591057359e-4
CLGN	6.457024591057359e-4
COBL	6.453319277262116e-4
SLC12A3	6.41086504424484e-4
MIOX	6.405445483040792e-4
TLL2	6.325691689879319e-4
TERF2	6.295721162845398e-4
ZNF608	6.281125800803409e-4
SNX29	6.278681914658751e-4
OR13A1	6.258972087878919e-4
TEX54	6.225986378322584e-4
PPP1R3G	6.179489274882246e-4
CELSR2	6.172893701403672e-4
MME	6.138221311696802e-4
PCDHGC3	6.138221311696802e-4
VWA2	6.136327292962292e-4
TBX21	6.088559862097055e-4
RASL10A	6.075406768816603e-4
DRC7	6.070383859650484e-4
CYP4F2	6.070383859650484e-4
TBC1D16	6.032138751633297e-4
NOS2	6.028524207655223e-4
ATG101	6.022282017390349e-4
MMP14	6.007555217401823e-4
PTCH1	6.00129250009071e-4
SPNS3	5.982484491644167e-4
ADM2	5.972625897536004e-4
DLL1	5.948214343428949e-4
RGL1	5.937370520923787e-4
CDC14B	5.935970035178055e-4
ECM1	5.919949839252508e-4
SPTLC3	5.906362156652838e-4
CREG2	5.906362156652838e-4
UNC79	5.868410882865521e-4
